"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
24, 1.000000000000000e+00, -0.000000000000000e+00, 1.201681046529476e+00, 1.092302376827581e+01, -1.174369731184333e+00, 2.535799295266414e+05, 1.014118846847330e+05, 2.939882600399959e+02, 2.659717179240451e-02, 1.867061137985352e-01
25, 7.994105490510000e-01, -7.709416416200000e-02, 1.200087970761216e+00, 4.194323248442767e+01, 1.307148550242777e+01, 2.530171346522942e+05, 1.008851943606964e+05, 2.928496422133667e+02, 1.067100831289431e-01, -9.450963883154320e-01
26, 9.997700692200000e-02, -7.811024943400000e-02, 1.196962908868123e+00, 4.681010169447973e+01, -2.088743938249276e+01, 2.524567627863908e+05, 1.005436821966132e+05, 2.926202916061174e+02, 1.248783601606470e-01, -1.678970363537564e+00
27, 9.997700692200000e-02, 2.610682152300000e-02, 1.205620164830133e+00, 2.253386717548385e+01, -4.941424291443691e-01, 2.540524568485652e+05, 1.015367075487081e+05, 2.933883865794584e+02, 5.444516495585908e-02, 4.549374127624506e-01
28, 7.994105490510000e-01, -2.045251614300000e-02, 1.206283714707261e+00, 2.084968365996617e+01, 1.024744114986935e+00, 2.541715712310748e+05, 1.015963802470281e+05, 2.933993284263104e+02, 5.039593639222407e-02, 5.831678096091165e-01
29, 1.306907786236000e+00, 1.176060429980000e-01, 1.199846348880163e+00, 7.921307413010547e+00, 2.561715468690923e+00, 2.531786020561034e+05, 1.012598877602782e+05, 2.939964949009377e+02, 2.018602554769552e-02, -1.399194032474007e-01
30, 1.257281268096000e+00, 7.666007644599999e-02, 1.202365524264960e+00, 2.221527341663240e+01, 1.685248377740311e+01, 2.533613942892377e+05, 1.012152252345565e+05, 2.932511177016468e+02, 6.755412389335710e-02, -2.358945067487650e-01
31, 1.063879814460000e+00, -3.000890998000000e-03, 1.199040163272455e+00, 4.592073634003419e+01, -5.369358568204087e+00, 2.527648886985380e+05, 1.007494129543323e+05, 2.927110644480223e+02, 1.124230569256655e-01, -1.236876450431757e+00
32, 1.050483380005000e+00, 3.380551016700000e-02, 1.205738685283105e+00, 1.956397933984403e+01, 6.070253201428678e+00, 2.540775479114878e+05, 1.015614191315762e+05, 2.934309440218312e+02, 4.947221175407218e-02, 5.080400236230240e-01
33, 1.251297107103000e+00, 9.310142364900000e-02, 1.205725646974286e+00, 2.182189159322014e+01, 8.694591990460697e+00, 2.540776017699013e+05, 1.015395122770987e+05, 2.933708231827642e+02, 5.673897113166630e-02, 4.609644811656471e-01
357, 9.883058983110130e-01, -5.287291896731231e-03, 1.203868076047660e+00, 1.522269301515037e+01, 6.574771674161012e+00, 2.536217138637128e+05, 1.014030064531208e+05, 2.934284899366882e+02, 4.011015143140094e-02, 1.676277212509597e-01
358, 9.761972896971080e-01, -1.065782956779242e-02, 1.205182802433167e+00, 2.176868781296750e+01, 9.218198347586307e+00, 2.539630070491149e+05, 1.014924615444227e+05, 2.933669632196068e+02, 5.712689545408187e-02, 3.598573703289328e-01
359, 9.638038677340682e-01, -1.604524813007051e-02, 1.204113503697002e+00, 2.596368676354795e+01, 1.094558177166785e+01, 2.537362860563330e+05, 1.013626466562074e+05, 2.932519172793606e+02, 6.816341465799916e-02, 8.089873260868444e-02
360, 9.511643497100751e-01, -2.142589397862291e-02, 1.203576264683593e+00, 2.889646893216717e+01, 1.201147204880617e+01, 2.536454632885043e+05, 1.012954567195891e+05, 2.931883420770119e+02, 7.574569230407403e-02, -6.348542428783979e-02
361, 9.382993439195305e-01, -2.678481453891437e-02, 1.203011246565870e+00, 3.097963735373690e+01, 1.266369687618189e+01, 2.535391852809774e+05, 1.012294568758791e+05, 2.931349249348697e+02, 8.105456318362478e-02, -2.053121958100186e-01
362, 9.252301883287646e-01, -3.210738082553483e-02, 1.202634251482898e+00, 3.265510975147409e+01, 1.301286199556804e+01, 2.534758155172454e+05, 1.011848288549521e+05, 2.930975432563151e+02, 8.516602909752946e-02, -3.012131521108706e-01
363, 9.119787987291081e-01, -3.737939544507324e-02, 1.202198583146685e+00, 3.404528509163674e+01, 1.332258987569048e+01, 2.533819952785351e+05, 1.011304433595945e+05, 2.930461666421442e+02, 8.861418268316947e-02, -4.180819019537571e-01
