"Time_Iter","Outer_Iter","Inner_Iter",    "Time(sec)"   ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,   "Cauchy[CL]"   ,   "Cauchy[CD]"   
          0,           0,           0,       0.683144504,      -2.447485682,     -0.4210597744,     0.06683624453,       3.016120582,       1.376779246,       3.949060002,                 0,                 0,                 0,        1.05528003,      0.6701158033,       4.128140114,                 0,       2.868332023,                 1,                 1
          0,           0,           1,       0.674363182,      -2.761522579,     -0.4658056981,     -0.2023184233,       2.704460512,      0.5061475588,       2.072995601,                 0,                 0,                 0,      0.5816721998,      0.1384861316,       2.129393741,                 0,        4.09563489,    0.009050016313,     0.01720114367
          0,           0,           2,       0.670385462,         -3.002983,     -0.4468539009,     -0.2812882234,       2.464871312,      0.1956834425,        1.01242883,                 0,                 0,                 0,      0.2039455492,     0.01690414993,       1.031027835,                 0,       5.173809379,     0.01952548619,     0.03306677401
          0,           0,           3,      0.6635990062,      -3.090445529,     -0.4094337373,     -0.2956687359,       2.376509728,    -0.01659141571,      0.1893777565,                 0,                 0,                 0,     -0.1427834596,    -0.04922445713,      0.1836196137,                 0,      -11.41420116,     0.06298629642,      0.1610093571
          0,           0,           4,      0.6643958552,      -3.126990035,     -0.4730499602,     -0.3854846299,       2.342668684,    -0.09083596358,     -0.1616867547,                 0,                 0,                 0,     -0.2914296128,    -0.06137935088,     -0.1750038691,                 0,       1.779986123,     0.08469892909,      0.1691828321
          0,           0,           5,       0.692201566,      -3.042036526,     -0.5066427294,      -0.443683468,       2.421790369,    -0.04454656396,       0.018286136,                 0,                 0,                 0,      -0.204010838,    -0.04704515575,     0.01027289886,                 0,     -0.4104948705,      0.1831193338,      0.1795740712
          0,           0,           6,      0.6881883717,      -2.966890658,     -0.4115797319,     -0.3708181542,       2.499490165,     0.04636776854,      0.4359599433,                 0,                 0,                 0,    -0.02041278951,    -0.03004031174,      0.4373884107,                 0,       9.402219624,      0.1926998885,      0.1991812973
          0,           0,           7,      0.6847740474,      -3.108269583,     -0.4707317004,     -0.5048066224,       2.369750283,      0.1129934778,      0.7475328292,                 0,                 0,                 0,     0.08891811394,    -0.01853086053,      0.7557972373,                 0,        6.61571662,      0.1968679046,      0.2050777181
          0,           0,           8,       0.680873049,      -2.987681109,     -0.3920419036,     -0.4480095057,       2.472165132,      0.1322373538,      0.8609210703,                 0,                 0,                 0,     0.09407915556,    -0.01926900369,      0.8708045203,                 0,       6.510422701,      0.1981849619,      0.2065329708
          0,           0,           9,       0.679490404,      -2.933010812,      -0.287796294,     -0.3568201531,       2.529009171,      0.1005157617,      0.7624429833,                 0,                 0,                 0,     0.02852134471,    -0.03340813323,        0.76831414,                 0,       7.585307723,      0.1994765744,      0.2096888532
          0,           0,          10,      0.6758266172,      -3.116110606,     -0.3477349656,     -0.5248835857,       2.361990394,     0.06885366838,      0.6802825703,                 0,                 0,                 0,    -0.00691012804,    -0.05032220218,      0.6819038635,                 0,       9.880120933,      0.2006843139,      0.2142873145
          0,           0,          11,      0.6747871257,      -2.999584968,     -0.3053594642,      -0.436142426,       2.459137666,     0.06012530195,      0.7061954647,                 0,                 0,                 0,     0.00308409133,    -0.06341769202,      0.7059074179,                 0,       11.74539573,      0.2010512505,      0.2157390106
          0,           0,          12,      0.6726331556,      -3.020604491,     -0.2693907524,     -0.4052232058,       2.437753176,     0.07435095525,      0.7949735648,                 0,                 0,                 0,     0.03437728124,    -0.06482431364,      0.7958070379,                 0,       10.69217688,      0.2021679933,       0.217652322
          0,           0,          13,      0.6717442696,      -3.194646327,      -0.303840664,     -0.5555549589,       2.278073812,     0.07958998612,      0.8458494409,                 0,                 0,                 0,     0.04119073019,    -0.06849937859,      0.8468197433,                 0,       10.62758623,        0.20276947,      0.2183105745
          0,           0,          14,      0.6710038031,      -3.058397322,     -0.2673107908,     -0.4466424212,       2.401279263,     0.07370774896,      0.8553791663,                 0,                 0,                 0,     0.03004349839,     -0.0759470708,       0.855183251,                 0,       11.60501003,      0.2028808794,      0.2191086232
          0,           0,          15,      0.6695995121,       -3.17130528,     -0.2638138365,     -0.4746638419,       2.291305111,     0.06685388871,       0.846391885,                 0,                 0,                 0,     0.02278706395,    -0.08113618049,      0.8451423463,                 0,        12.6603239,      0.2029870628,      0.2201338232
          0,           0,          16,       0.669536173,      -3.317308063,     -0.2860106614,     -0.5486781292,       2.154604849,     0.06694875517,      0.8767658565,                 0,                 0,                 0,     0.03281533906,    -0.08631714008,      0.8750713424,                 0,       13.09607407,      0.2033334948,      0.2201479932
          0,           0,          17,      0.6679958272,      -3.184331414,     -0.2684729279,     -0.4744577097,       2.273722919,      0.0682767156,      0.9247736905,                 0,                 0,                 0,     0.04308216879,    -0.09334582722,      0.9225804274,                 0,       13.54449584,      0.2038526254,        0.22034249
          0,           0,          18,      0.6680210146,      -3.294799647,     -0.2767928556,     -0.5206373664,       2.171346633,     0.06347343622,      0.9370046227,                 0,                 0,                 0,     0.03782394272,     -0.1002000131,      0.9337914636,                 0,       14.76215372,      0.2039831577,      0.2210992285
          0,           0,          19,      0.6667670131,      -3.368850548,     -0.2940819176,     -0.5764819609,       2.105098736,     0.05322603059,      0.9210117899,                 0,                 0,                 0,     0.02382318008,     -0.1075146113,      0.9162621545,                 0,         17.303785,      0.2041568018,      0.2230244905
          0,           0,          20,      0.6671263853,      -3.279052806,     -0.2875459367,     -0.5323817327,       2.183756788,     0.04859544304,      0.9156568875,                 0,                 0,                 0,     0.01842229125,     -0.1111449808,       0.910184512,                 0,       18.84244345,      0.2042152834,      0.2239773757
          0,           0,          21,        0.67205687,      -3.414769362,      -0.300290261,     -0.5767470315,       2.054349561,     0.05253505276,      0.9461751109,                 0,                 0,                 0,     0.02919404414,     -0.1125646565,      0.9409232011,                 0,       18.01035806,      0.2045378265,      0.2247272768
          0,           0,          22,      0.6721874843,      -3.453785568,      -0.307035344,     -0.6029882245,       2.014661589,     0.05613025413,      0.9917756716,                 0,                 0,                 0,     0.03972551929,     -0.1169425286,       0.986455287,                 0,       17.66918192,      0.2049976135,      0.2253677873
